Team,Year,Win/Loss,Home/Away,Date,Opponent,SP,Kills,Errors,Attack Attempts,Hitting percentage,Assists,Service Aces,Service errors,Reception Errors,Digs,Block solo,Block assists,Blocking errors,Total Blocks,BHE,,,,,
Concordia St. Paul,2019,1,0,Sep 20 ,at Minn.-Crookston  ,3 ,45 ,11 ,100 ,.340 ,40 ,8 ,4 ,2 ,41 ,0 ,10 ,0 ,5.0 ,0 ,,,,,
Concordia St. Paul,2019,1,0,Sep 21 ,at Bemidji State  ,5 ,70 ,23 ,147 ,.320 ,67 ,5 ,12 ,2 ,44 ,4 ,8 ,3 ,8.0 ,3 ,,,,,
Concordia St. Paul,2019,0,1,Sep 27 ,MINN. DULUTH  ,3 ,44 ,16 ,111 ,.252 ,41 ,4 ,5 ,6 ,43 ,2 ,6 ,1 ,5.0 ,2 ,,,,,
Concordia St. Paul,2019,1,1,Sep 28 ,ST. CLOUD ST.  ,5 ,65 ,28 ,183 ,.202 ,62 ,3 ,9 ,7 ,86 ,2 ,20 ,5 ,12.0 ,1 ,,,,,
Concordia St. Paul,2019,1,0,Oct 04 ,at Augustana (SD)  ,4 ,52 ,29 ,143 ,.161 ,52 ,10 ,7 ,3 ,68 ,2 ,8 ,0 ,6.0 ,3 ,,,,,
Concordia St. Paul,2019,1,0,Oct 05 ,at Wayne State (Neb.)  ,5 ,71 ,29 ,193 ,.218 ,63 ,10 ,8 ,4 ,101 ,0 ,14 ,1 ,7.0 ,4 ,,,,,
Concordia St. Paul,2019,1,1,Oct 11 ,SW MINNESOTA STATE  ,4 ,64 ,17 ,152 ,.309 ,64 ,4 ,12 ,3 ,58 ,5 ,8 ,3 ,9.0 ,0 ,,,,,
Concordia St. Paul,2019,1,1,Oct 12 ,SIOUX FALLS  ,4 ,53 ,21 ,160 ,.200 ,51 ,6 ,7 ,2 ,69 ,0 ,18 ,2 ,9.0 ,3 ,,,,,
Concordia St. Paul,2019,0,0,Oct 15 ,at Winona St.  ,4 ,48 ,27 ,142 ,.148 ,47 ,9 ,5 ,4 ,51 ,2 ,8 ,0 ,6.0 ,0 ,,,,,
Concordia St. Paul,2019,1,0,Oct 18 ,at Minot St.  ,4 ,61 ,14 ,168 ,.280 ,57 ,8 ,8 ,2 ,60 ,2 ,10 ,0 ,7.0 ,0 ,,,,,
Concordia St. Paul,2019,1,0,Oct 19 ,at Mary  ,3 ,50 ,11 ,112 ,.348 ,48 ,8 ,4 ,0 ,53 ,2 ,4 ,1 ,4.0 ,0 ,,,,,
Concordia St. Paul,2019,1,1,Oct 25 ,MSU MOORHEAD  ,3 ,43 ,10 ,87 ,.379 ,42 ,8 ,10 ,1 ,36 ,2 ,16 ,0 ,10.0 ,1 ,,,,,
Concordia St. Paul,2019,1,1,Oct 26 ,NORTHERN ST.  ,3 ,40 ,14 ,113 ,.230 ,38 ,7 ,6 ,2 ,49 ,4 ,18 ,1 ,13.0 ,0 ,,,,,
Concordia St. Paul,2019,1,0,Oct 31 ,at Minnesota St.  ,3 ,50 ,18 ,133 ,.241 ,47 ,5 ,8 ,3 ,54 ,2 ,8 ,1 ,6.0 ,0 ,,,,,
Concordia St. Paul,2019,1,1,Nov 02 ,UPPER IOWA  ,3 ,46 ,11 ,113 ,.310 ,44 ,5 ,6 ,0 ,58 ,1 ,20 ,1 ,11.0 ,0 ,,,,,
Concordia St. Paul,2019,1,1,Nov 05 ,WINONA ST.  ,4 ,56 ,26 ,162 ,.185 ,54 ,5 ,9 ,4 ,67 ,2 ,6 ,3 ,5.0 ,0 ,,,,,
Concordia St. Paul,2019,0,0,Nov 08 ,at Minn. Duluth  ,4 ,56 ,27 ,166 ,.175 ,53 ,4 ,6 ,2 ,70 ,1 ,20 ,0 ,11.0 ,1 ,,,,,
Concordia St. Paul,2019,0,0,Nov 09 ,at St. Cloud St.  ,5 ,68 ,22 ,165 ,.279 ,65 ,8 ,12 ,9 ,76 ,1 ,22 ,1 ,12.0 ,2 ,,,,,
Concordia St. Paul,2019,0,1,Nov 12 ,WAYNE STATE (NEB.)  ,3 ,43 ,24 ,132 ,.144 ,38 ,3 ,7 ,2 ,65 ,1 ,10 ,1 ,6.0 ,1 ,,,,,
Concordia St. Paul,2019,1,1,Nov 15 ,MINN.-CROOKSTON  ,3 ,51 ,21 ,126 ,.238 ,47 ,10 ,10 ,2 ,56 ,1 ,0 ,1 ,1.0 ,1 ,,,,,
Concordia St. Paul,2019,1,1,Nov 16 ,BEMIDJI STATE  ,3 ,55 ,15 ,106 ,.377 ,49 ,4 ,6 ,4 ,47 ,0 ,14 ,3 ,7.0 ,2 ,,,,,
Concordia St. Paul,2019,1,0,Nov 22 ,vs Winona St.  ,5 ,58 ,38 ,176 ,.114 ,58 ,10 ,6 ,10 ,72 ,0 ,18 ,0 ,9.0 ,3 ,,,,,
Concordia St. Paul,2019,1,0,Nov 23 ,vs Minn. Duluth  ,5 ,54 ,23 ,150 ,.207 ,51 ,7 ,9 ,7 ,64 ,2 ,14 ,2 ,9.0 ,1 ,,,,,
Concordia St. Paul,2019,1,0,Nov 24 ,vs St. Cloud St.  ,3 ,51 ,12 ,119 ,.328 ,49 ,5 ,4 ,3 ,57 ,0 ,16 ,1 ,8.0 ,5 ,,,,,
Concordia St. Paul,2019,1,0,Dec 06 ,vs Minn. Duluth  ,3 ,43 ,8 ,111 ,.315 ,43 ,3 ,4 ,0 ,48 ,1 ,14 ,3 ,8.0 ,1 ,,,,,
Concordia St. Paul,2018,1,1,Sep 01 ,vs SW Minnesota State  ,3 ,43 ,15 ,112 ,.250 ,42 ,7 ,9 ,2 ,54 ,2 ,8 ,0 ,6.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Sep 06 ,at Upper Iowa  ,3 ,43 ,12 ,115 ,.270 ,42 ,6 ,8 ,4 ,59 ,0 ,8 ,0 ,4.0 ,1 ,,,,,
Concordia St. Paul,2018,1,1,Sep 08 ,WINONA STATE  ,3 ,48 ,14 ,120 ,.283 ,45 ,4 ,6 ,0 ,58 ,1 ,16 ,0 ,9.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Sep 11 ,at Minnesota State  ,3 ,44 ,19 ,98 ,.255 ,44 ,4 ,6 ,0 ,37 ,2 ,4 ,2 ,4.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Sep 14 ,at Wayne State (Neb.)  ,3 ,43 ,12 ,99 ,.313 ,40 ,11 ,9 ,3 ,49 ,0 ,6 ,0 ,3.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Sep 15 ,at Augustana (SD)  ,5 ,70 ,22 ,179 ,.268 ,69 ,6 ,11 ,5 ,88 ,0 ,8 ,6 ,4.0 ,0 ,,,,,
Concordia St. Paul,2018,1,1,Sep 21 ,SIOUX FALLS  ,3 ,47 ,13 ,97 ,.351 ,43 ,6 ,9 ,3 ,46 ,2 ,6 ,0 ,5.0 ,0 ,,,,,
Concordia St. Paul,2018,1,1,Sep 22 ,SOUTHWEST MINNESOTA  ,5 ,75 ,22 ,201 ,.264 ,71 ,12 ,7 ,2 ,90 ,1 ,9 ,4 ,5.5 ,1 ,,,,,
Concordia St. Paul,2018,0,0,Sep 28 ,at Northern State  ,5 ,75 ,32 ,201 ,.214 ,69 ,6 ,12 ,3 ,80 ,4 ,8 ,0 ,8.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Sep 29 ,at MSU Moorhead  ,3 ,60 ,14 ,120 ,.383 ,59 ,3 ,7 ,2 ,59 ,0 ,0 ,2 ,0.0 ,0 ,,,,,
Concordia St. Paul,2018,0,0,Oct 03 ,at Minnesota Duluth  ,3 ,40 ,15 ,111 ,.225 ,38 ,6 ,8 ,4 ,44 ,3 ,8 ,1 ,7.0 ,0 ,,,,,
Concordia St. Paul,2018,1,1,Oct 05 ,UNIVERSITY OF MARY  ,3 ,44 ,18 ,102 ,.255 ,42 ,3 ,6 ,2 ,44 ,2 ,14 ,2 ,9.0 ,0 ,,,,,
